wav [Å]	Ti	Fe	Ni	Cu	Cd	W	Pb	Al	Zn	ZnO
0.166	0.269	0.972	1.679	0.691	11.07	0.393	0.364	0.085	0.271	0.31
0.167	0.269	0.972	1.679	0.691	11.135	0.394	0.364	0.085	0.271	0.31
0.168	0.269	0.972	1.679	0.692	11.2	0.395	0.364	0.085	0.271	0.31
0.169	0.269	0.972	1.68	0.692	11.265	0.395	0.364	0.085	0.271	0.31
0.17	0.269	0.973	1.68	0.692	11.33	0.396	0.364	0.085	0.271	0.31
0.171	0.27	0.973	1.68	0.692	11.394	0.397	0.364	0.085	0.271	0.31
0.172	0.27	0.973	1.68	0.692	11.459	0.397	0.364	0.085	0.271	0.31
0.173	0.27	0.973	1.68	0.692	11.524	0.398	0.364	0.085	0.271	0.31
0.174	0.27	0.973	1.681	0.693	11.589	0.398	0.364	0.085	0.271	0.31
0.175	0.27	0.973	1.681	0.693	11.654	0.399	0.364	0.085	0.271	0.31
0.176	0.271	0.973	1.681	0.693	11.719	0.4	0.364	0.085	0.271	0.31
0.177	0.271	0.973	1.681	0.693	11.784	0.4	0.364	0.085	0.271	0.31
0.178	0.271	0.973	1.681	0.693	11.849	0.401	0.364	0.085	0.271	0.31
0.179	0.271	0.974	1.682	0.693	11.914	0.402	0.364	0.085	0.271	0.31
0.18	0.271	0.974	1.682	0.694	11.979	0.402	0.364	0.086	0.271	0.31
0.181	0.272	0.974	1.682	0.694	12.044	0.403	0.364	0.086	0.271	0.31
0.182	0.272	0.974	1.682	0.694	12.109	0.404	0.364	0.086	0.271	0.31
0.183	0.272	0.974	1.682	0.694	12.174	0.404	0.364	0.086	0.271	0.31
0.184	0.272	0.974	1.683	0.694	12.238	0.405	0.364	0.086	0.271	0.31
0.185	0.272	0.974	1.683	0.694	12.303	0.405	0.364	0.086	0.271	0.31
0.186	0.273	0.974	1.683	0.695	12.368	0.406	0.364	0.086	0.272	0.31
0.187	0.273	0.974	1.683	0.695	12.433	0.407	0.364	0.086	0.272	0.31
0.188	0.273	0.975	1.684	0.695	12.498	0.407	0.364	0.086	0.272	0.31
0.189	0.273	0.975	1.684	0.695	12.563	0.408	0.364	0.086	0.272	0.31
0.19	0.273	0.975	1.684	0.695	12.628	0.409	0.364	0.086	0.272	0.31
0.191	0.274	0.975	1.684	0.696	12.693	0.409	0.364	0.086	0.272	0.31
0.192	0.274	0.975	1.684	0.696	12.758	0.41	0.364	0.086	0.272	0.31
0.193	0.274	0.975	1.685	0.696	12.823	0.411	0.364	0.086	0.272	0.31
0.194	0.274	0.975	1.685	0.696	12.888	0.411	0.364	0.086	0.272	0.31
0.195	0.274	0.975	1.685	0.696	12.953	0.412	0.364	0.086	0.272	0.31
0.196	0.274	0.975	1.685	0.696	13.018	0.412	0.364	0.086	0.272	0.31
0.197	0.275	0.976	1.685	0.697	13.082	0.413	0.364	0.086	0.272	0.31
0.198	0.275	0.976	1.686	0.697	13.147	0.414	0.364	0.086	0.272	0.31
0.199	0.275	0.976	1.686	0.697	13.212	0.414	0.364	0.086	0.272	0.31
0.2	0.275	0.976	1.686	0.697	13.277	0.415	0.364	0.086	0.272	0.31
0.201	0.275	0.976	1.686	0.697	13.342	0.416	0.364	0.086	0.272	0.31
0.202	0.276	0.976	1.686	0.697	13.407	0.416	0.364	0.086	0.272	0.31
0.203	0.276	0.976	1.687	0.698	13.472	0.417	0.364	0.086	0.272	0.31
0.204	0.276	0.976	1.687	0.698	13.537	0.418	0.364	0.086	0.272	0.31
0.205	0.276	0.976	1.687	0.698	13.602	0.418	0.364	0.086	0.272	0.31
0.206	0.276	0.977	1.687	0.698	13.667	0.419	0.364	0.086	0.272	0.31
0.207	0.277	0.977	1.687	0.698	13.732	0.419	0.364	0.086	0.272	0.31
0.208	0.277	0.977	1.688	0.698	13.797	0.42	0.364	0.086	0.272	0.31
0.209	0.277	0.977	1.688	0.699	13.861	0.421	0.364	0.086	0.272	0.31
0.21	0.277	0.977	1.688	0.699	13.926	0.421	0.364	0.086	0.272	0.311
0.211	0.277	0.977	1.688	0.699	13.991	0.422	0.364	0.086	0.272	0.311
0.212	0.278	0.977	1.688	0.699	14.056	0.423	0.364	0.086	0.273	0.311
0.213	0.278	0.977	1.689	0.699	14.121	0.423	0.364	0.086	0.273	0.311
0.214	0.278	0.977	1.689	0.699	14.186	0.424	0.364	0.086	0.273	0.311
0.215	0.278	0.978	1.689	0.7	14.251	0.425	0.364	0.086	0.273	0.311
0.216	0.278	0.978	1.689	0.7	14.316	0.425	0.364	0.086	0.273	0.311
0.217	0.278	0.978	1.689	0.7	14.381	0.426	0.364	0.086	0.273	0.311
0.218	0.279	0.978	1.69	0.7	14.446	0.426	0.364	0.086	0.273	0.311
0.219	0.279	0.978	1.69	0.7	14.511	0.427	0.364	0.086	0.273	0.311
0.22	0.279	0.978	1.69	0.701	14.576	0.428	0.364	0.086	0.273	0.311
0.221	0.279	0.978	1.69	0.701	14.641	0.428	0.364	0.086	0.273	0.311
0.222	0.279	0.978	1.69	0.701	14.705	0.429	0.364	0.086	0.273	0.311
0.223	0.28	0.978	1.691	0.701	14.77	0.43	0.364	0.086	0.273	0.311
0.224	0.28	0.979	1.691	0.701	14.835	0.43	0.364	0.086	0.273	0.311
0.225	0.28	0.979	1.691	0.701	14.9	0.431	0.364	0.086	0.273	0.311
0.226	0.28	0.979	1.691	0.702	14.965	0.432	0.364	0.086	0.273	0.311
0.227	0.28	0.979	1.691	0.702	15.03	0.432	0.364	0.086	0.273	0.311
0.228	0.281	0.979	1.692	0.702	15.095	0.433	0.364	0.086	0.273	0.311
0.229	0.281	0.979	1.692	0.702	15.16	0.433	0.364	0.086	0.273	0.311
0.23	0.281	0.979	1.692	0.702	15.225	0.434	0.364	0.086	0.273	0.311
0.231	0.281	0.979	1.692	0.702	15.29	0.435	0.364	0.086	0.273	0.311
0.232	0.281	0.979	1.692	0.703	15.355	0.435	0.364	0.086	0.273	0.311
0.233	0.282	0.98	1.693	0.703	15.42	0.436	0.364	0.086	0.273	0.311
0.234	0.282	0.98	1.693	0.703	15.484	0.437	0.364	0.086	0.273	0.311
0.235	0.282	0.98	1.693	0.703	15.549	0.437	0.364	0.086	0.273	0.311
0.236	0.282	0.98	1.693	0.703	15.614	0.438	0.364	0.086	0.273	0.311
0.237	0.282	0.98	1.693	0.703	15.679	0.439	0.364	0.086	0.273	0.311
0.238	0.283	0.98	1.694	0.704	15.744	0.439	0.364	0.086	0.274	0.311
0.239	0.283	0.98	1.694	0.704	15.809	0.44	0.364	0.086	0.274	0.311
0.24	0.283	0.98	1.694	0.704	15.874	0.44	0.364	0.086	0.274	0.311
0.241	0.283	0.98	1.694	0.704	15.939	0.441	0.364	0.086	0.274	0.311
0.242	0.283	0.981	1.694	0.704	16.004	0.442	0.364	0.086	0.274	0.311
0.243	0.283	0.981	1.695	0.704	16.069	0.442	0.364	0.086	0.274	0.311
0.244	0.284	0.981	1.695	0.705	16.134	0.443	0.364	0.086	0.274	0.311
0.245	0.284	0.981	1.695	0.705	16.199	0.444	0.364	0.086	0.274	0.311
0.246	0.284	0.981	1.695	0.705	16.263	0.444	0.364	0.086	0.274	0.311
0.247	0.284	0.981	1.695	0.705	16.328	0.445	0.364	0.086	0.274	0.311
